Obs,DOY,treatment,_TYPE_,_FREQ_,ten_corr,twenty_corr,thirty_corr,forty_corr,fifty_corr,sixty_corr,seventy_corr,eighty_corr,ninety_corr,hundred_corr,top,middle,bottom,true_top,true_middle,true_bottom,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,true_eighty,true_ninety,true_hundred
1,193,dry,80,18,28.4352,40.6061,47.3296,50.2443,51.8898,52.5258,51.6235,50.7611,50.4453,49.7923,34.5206,49.8212,51.7454,38.2456,45.4234,46.5499,33.6064,42.8848,43.9645,45.6711,46.6345,47.0069,46.4786,45.9737,45.7888,45.4065
2,194,dry,80,17,26.5426,39.8636,47.0803,50.2254,51.9197,52.596,51.6809,50.7463,50.3862,49.8507,33.2031,49.7418,51.7107,37.2412,45.3769,46.5296,32.1636,42.3187,43.8185,45.66,46.652,47.048,46.5122,45.965,45.7542,45.4406
3,204,dry,80,18,32.1415,42.0857,48.317,51.3762,52.3503,53.1956,51.9017,50.9584,50.4172,49.6806,37.1136,50.6812,52.0372,40.2223,45.9269,46.7208,36.4319,44.0127,44.5426,46.3338,46.9042,47.3991,46.6415,46.0892,45.7723,45.341
4,206,dry,80,17,23.9135,40.1304,47.163,50.3388,52.0551,52.6164,51.5668,50.6551,50.4319,49.7981,32.022,49.8523,51.65,36.3407,45.4416,46.4941,30.1593,42.5222,43.867,45.7264,46.7313,47.06,46.4454,45.9116,45.7809,45.4098
5,208,dry,80,17,17.3209,37.8299,46.7192,49.9025,51.6187,52.6923,51.5152,50.672,50.3893,49.8015,27.5754,49.4135,51.7203,32.951,45.1846,46.5353,25.1335,40.7684,43.6071,45.471,46.4758,47.1044,46.4152,45.9215,45.756,45.4118
6,210,dry,80,17,13.3021,34.9081,46.6824,49.8772,51.6384,52.4843,51.4361,50.693,50.2082,49.719,24.1051,49.3993,51.6262,30.3054,45.1764,46.4802,22.0698,38.541,43.5856,45.4561,46.4873,46.9826,46.3688,45.9338,45.6499,45.3635
7,213,dry,80,17,12.387,33.3916,46.187,49.7712,51.5597,52.3998,51.4795,50.5095,50.1666,49.5431,22.8893,49.1726,51.5042,29.3786,45.0436,46.4088,21.3722,37.3849,43.2955,45.3941,46.4412,46.9331,46.3943,45.8264,45.6256,45.2605
8,218,dry,80,17,7.5794,24.0331,39.82,48.2693,51.0502,52.1597,51.3437,50.4824,50.1826,49.3948,15.8063,46.3798,51.4446,23.9788,43.4084,46.3738,17.7072,30.2505,39.5676,44.5147,46.1429,46.7926,46.3148,45.8105,45.6349,45.1737
9,221,dry,80,17,6.8077,19.9237,35.398,46.0544,50.8513,52.3769,51.5955,50.8556,50.3362,49.8635,13.3657,44.1013,51.7348,22.1183,42.0743,46.5438,17.1189,27.1178,36.9786,43.2179,46.0265,46.9197,46.4622,46.029,45.7249,45.4481
10,224,dry,80,17,5.5417,15.3212,27.4013,37.7782,46.6523,51.4604,51.5507,50.8534,50.3379,49.7069,10.4314,37.2773,51.4131,19.8814,38.0789,46.3554,16.1537,23.609,32.2965,38.3722,43.5679,46.3831,46.4359,46.0277,45.7259,45.3564
11,225,dry,80,17,5.5682,15.75,25.977,36.1202,45.3444,50.5608,51.1094,50.4821,49.8023,48.9688,10.6591,35.8138,50.9816,20.0549,37.222,46.1027,16.174,23.9359,31.4625,37.4014,42.8022,45.8564,46.1776,45.8103,45.4123,44.9243
12,227,dry,80,17,5.0816,14.2139,22.765,30.7808,41.2017,48.962,50.2258,50.1346,49.7325,49.1324,9.6478,31.5825,49.9815,19.284,34.7446,45.5172,15.803,22.765,29.5819,34.2752,40.3767,44.9203,45.6603,45.6069,45.3714,45.02
13,228,dry,80,17,4.789,13.4192,21.6642,28.124,39.1777,47.1695,49.4343,49.8908,49.7107,49.1556,9.1041,29.6553,49.1789,18.8695,33.6162,45.0473,15.5799,22.1591,28.9374,32.7196,39.1916,43.8708,45.1968,45.4641,45.3586,45.0336
14,231,dry,80,17,4.2548,11.4505,18.2658,23.4103,32.6976,42.9298,47.6653,49.5771,49.8377,49.2351,7.8526,24.7912,47.2781,17.9155,30.7683,43.9344,15.1727,20.6583,26.9476,29.9597,35.3975,41.3885,44.161,45.2805,45.433,45.0802
15,234,dry,80,17,5.0982,12.6212,17.2457,20.0839,27.2199,36.9023,43.9183,48.2855,49.4141,49.4135,8.8597,21.5165,43.5062,18.6832,28.8509,41.7259,15.8157,21.5508,26.3504,28.0121,32.1903,37.8593,41.9672,44.5242,45.185,45.1847
16,237,dry,80,16,5.3962,12.8373,16.9908,19.3642,25.8112,34.4176,43.7804,51.3656,53.1828,53.4924,9.1167,20.722,43.7802,18.8791,28.3858,41.8863,16.0428,21.7155,26.2011,27.5908,31.3655,36.4046,41.8865,46.3276,47.3916,47.5729
17,239,dry,80,17,4.7065,12.5522,16.6201,18.3236,22.7207,29.8036,38.7718,47.9355,51.3569,52.6242,8.6294,19.2215,39.0561,18.5076,27.5072,39.1204,15.5171,21.4981,25.9841,26.9815,29.556,33.703,38.9539,44.3193,46.3225,47.0645
18,242,dry,80,17,4.6186,12.1215,15.9144,17.3342,20.5871,26.4356,35.4808,44.9782,50.3528,52.3176,8.3701,17.9452,35.8087,18.3099,26.76,37.219,15.45,21.1698,25.5709,26.4022,28.3068,31.7311,37.0271,42.5878,45.7346,46.885
19,246,dry,80,17,4.0781,10.0316,13.4123,14.0553,16.4543,20.7608,28.3175,37.678,44.4877,47.7087,7.0548,14.6406,29.0812,17.3073,24.8251,33.2801,15.038,19.5766,24.1059,24.4824,25.8871,28.4085,32.833,38.3135,42.3006,44.1865
20,249,dry,80,17,3.778,9.7236,13.0007,13.839,15.4164,19.4989,25.2802,34.7871,42.6386,46.3519,6.7508,14.0854,26.6174,17.0755,24.5,31.8375,14.8092,19.3418,23.8649,24.3558,25.2793,27.6697,31.0546,36.6209,41.218,43.3921
21,251,dry,80,17,3.8337,9.769,12.8794,13.181,14.961,18.5454,24.664,33.8968,41.7097,45.8852,6.8014,13.6738,25.7924,17.114,24.259,31.3545,14.8517,19.3764,23.7939,23.9705,25.0127,27.1114,30.6938,36.0996,40.674,43.1189
22,256,dry,80,17,3.4428,9.7903,14.0994,14.4916,15.7505,18.5882,24.0378,33.1666,41.3531,47.0375,6.6332,14.7805,25.4193,16.9858,24.907,31.136,14.5536,19.3926,24.5082,24.7378,25.4749,27.1364,30.3272,35.6721,40.4653,43.7935
23,261,dry,80,17,2.8157,8.3659,11.5048,11.7745,13.2615,16.1761,21.1473,29.0186,36.4829,42.6194,5.5908,12.1803,22.2767,16.1912,23.3846,29.2961,14.0756,18.3068,22.9891,23.147,24.0177,25.7241,28.6348,33.2434,37.6138,41.2067
24,265,dry,80,18,3.1126,9.2436,12.8839,13.0215,14.7579,17.4412,22.6962,30.5477,38.5963,45.4559,6.1781,13.5544,23.8033,16.6389,24.1892,30.1899,14.3019,18.9758,23.7965,23.8771,24.8938,26.4649,29.5417,34.1387,38.8512,42.8675
25,268,dry,80,17,3.0257,9.2396,12.7846,13.1585,14.6087,17.7366,21.967,30.4927,39.1916,45.6179,6.1326,13.5173,23.5875,16.6043,24.1674,30.0635,14.2357,18.9728,23.7384,23.9573,24.8064,26.6378,29.1147,34.1065,39.1997,42.9623
26,270,dry,80,17,2.2998,7.5104,10.9706,11.2384,12.6777,15.4284,19.8526,26.7721,35.988,41.5227,4.9051,11.6289,20.8632,15.6684,23.0617,28.4684,13.6823,17.6546,22.6763,22.8331,23.6758,25.2863,27.8767,31.9281,37.324,40.5646
27,193,wet,80,15,27.2311,39.612,48.0126,51.6619,52.0442,52.5957,52.4172,51.8559,51.2904,51.386,33.4216,50.5747,52.2896,37.4077,45.8645,46.8686,32.6885,42.127,44.3644,46.5011,46.7249,47.0478,46.9433,46.6147,46.2836,46.3395
28,194,wet,80,15,25.6468,39.0674,47.5922,51.4148,52.1626,52.5425,52.167,51.6448,51.0176,51.2641,32.3571,50.4002,52.1181,36.5962,45.7624,46.7682,31.4807,41.7117,44.1183,46.3564,46.7942,47.0167,46.7968,46.4911,46.1238,46.2682
29,204,wet,80,15,32.4554,41.0324,48.8929,51.9458,52.7097,53.1314,52.6235,52.0837,51.5913,51.7808,36.7439,51.181,52.6129,39.9404,46.2195,47.0579,36.6712,43.2097,44.8798,46.6673,47.1146,47.3615,47.0641,46.748,46.4598,46.5707
30,206,wet,80,15,27.7005,39.4911,47.545,51.0824,51.8885,52.5218,52.2681,51.6797,51.2159,51.369,33.5958,50.172,52.1565,37.5405,45.6287,46.7907,33.0463,42.0347,44.0907,46.1618,46.6338,47.0045,46.856,46.5115,46.2399,46.3296
31,208,wet,80,15,26.9674,38.2548,47.0344,51.1312,51.6625,52.4653,52.0043,51.3646,50.9566,51.2409,32.6111,49.9354,51.9447,36.7899,45.4902,46.6667,32.4875,41.0923,43.7917,46.1904,46.5015,46.9715,46.7015,46.327,46.0881,46.2546
32,210,wet,80,15,22.5079,36.9077,46.8633,50.5937,51.5057,52.2146,52.0607,51.6416,51.41,51.4092,29.7078,49.6393,51.9723,34.5766,45.3169,46.6828,29.0878,40.0653,43.6915,45.8757,46.4096,46.8247,46.7346,46.4892,46.3536,46.3531
33,213,wet,80,15,23.0488,37.3334,47.1052,50.7744,51.6312,52.3725,51.9758,51.525,50.9964,51.2097,30.1911,49.8423,51.9577,34.945,45.4357,46.6743,29.5001,40.3899,43.8331,45.9814,46.4831,46.9171,46.6848,46.4209,46.1115,46.2363
34,218,wet,80,15,22.1555,34.217,45.3917,50.6473,51.1049,51.7699,51.6262,51.0948,50.8197,50.7432,28.1863,49.5411,51.497,33.4166,45.2594,46.4045,28.8192,38.0141,42.8299,45.907,46.1749,46.5643,46.4802,46.1691,46.008,45.9632
35,221,wet,80,15,16.3369,29.2256,44.2036,50.5128,51.5252,52.3278,52.0456,51.4377,51.0073,50.9575,22.7812,48.7965,51.937,29.2961,44.8234,46.6622,24.3834,34.2089,42.1343,45.8283,46.4211,46.891,46.7257,46.3698,46.1178,46.0886
36,224,wet,80,15,26.7266,36.9212,45.82,50.4287,51.5285,52.572,52.4079,51.7875,51.379,51.4854,31.8239,49.2889,52.2558,36.1898,45.1117,46.8488,32.3039,40.0757,43.0806,45.779,46.423,47.0339,46.9378,46.5746,46.3354,46.3977
37,225,wet,80,16,27.7557,38.0099,46.1792,50.1649,51.2085,51.9506,51.6962,50.957,50.2479,50.5382,32.8828,49.1673,51.5346,36.997,45.0405,46.4266,33.0884,40.9056,43.291,45.6246,46.2356,46.6701,46.5212,46.0884,45.6732,45.8432
38,227,wet,80,14,28.6169,36.967,46.1985,50.1701,51.1315,52.0816,51.8377,51.463,50.8797,51.1417,32.7919,49.1577,51.7941,36.9277,45.0349,46.5785,33.7449,40.1105,43.3023,45.6277,46.1906,46.7468,46.604,46.3846,46.0431,46.1965
39,228,wet,80,15,28.0476,36.6462,45.4614,49.4574,50.5227,51.4702,51.3981,50.7919,50.4956,50.6113,32.3469,48.4768,51.2201,36.5885,44.6362,46.2424,33.311,39.866,42.8707,45.2104,45.8341,46.3888,46.3466,45.9917,45.8182,45.8859
40,231,wet,80,15,24.7321,36.137,45.3612,49.6363,50.7472,51.7244,51.4017,51.0544,50.5832,50.7978,30.4345,48.589,51.3935,35.1306,44.7019,46.3439,30.7834,39.4778,42.812,45.3151,45.9655,46.5377,46.3487,46.1454,45.8695,45.9951
41,234,wet,80,15,25.5172,37.1123,46.4332,50.3349,50.9933,51.7813,51.4624,50.9564,50.5186,50.7192,31.3148,49.2421,51.4,35.8016,45.0843,46.3478,31.3819,40.2213,43.4397,45.7241,46.1096,46.571,46.3843,46.088,45.8317,45.9492
42,237,wet,80,15,31.9176,43.5718,51.2314,54.5304,55.1447,55.9298,55.6263,55.1147,54.6279,54.9166,37.7447,52.9459,55.448,40.7034,47.2529,48.7178,36.2612,45.1456,46.249,48.1806,48.5403,49,48.8222,48.5227,48.2377,48.4067
43,239,wet,80,15,26.4188,41.755,50.772,54.5606,55.1612,55.8828,55.1597,54.9146,54.3688,54.7176,34.0869,53.4083,55.2036,37.9149,47.5236,48.5747,32.0692,43.7607,45.98,48.1983,48.5499,48.9724,48.5491,48.4055,48.086,48.2902
44,242,wet,80,15,27.1799,41.7587,51.0876,54.5829,55.1499,55.6141,55.475,54.891,54.424,54.5921,34.4693,52.9225,55.2037,38.2065,47.2392,48.5748,32.6495,43.7635,46.1648,48.2113,48.5433,48.8151,48.7337,48.3917,48.1183,48.2167
45,246,wet,80,15,25.6043,37.9569,46.6593,50.1453,51.0157,51.7419,51.4107,51.1233,50.7439,50.8549,31.7806,49.2853,51.4253,36.1568,45.1096,46.3625,31.4483,40.8652,43.572,45.6131,46.1228,46.5479,46.354,46.1857,45.9636,46.0286
46,249,wet,80,15,24.8654,37.8686,46.6074,49.9646,50.8847,51.7572,51.4856,51.0896,50.6882,50.5598,31.367,49.1514,51.4441,35.8415,45.0312,46.3736,30.885,40.7979,43.5416,45.5073,46.046,46.5569,46.3978,46.166,45.931,45.8558
47,251,wet,80,15,22.9704,37.7026,47.0831,50.2346,51.1998,51.9526,51.57,51.2953,50.9994,51.183,30.6811,49.696,51.6059,35.3186,45.3501,46.4683,29.4403,40.6713,43.8202,45.6654,46.2305,46.6713,46.4473,46.2864,46.1132,46.2207
48,256,wet,80,15,29.9271,42.447,50.011,53.5958,54.7174,54.8439,54.6782,54.258,53.8748,54.1104,36.1871,52.7736,54.3494,39.516,47.152,48.0746,34.7438,44.2882,45.5345,47.6334,48.2901,48.3642,48.2671,48.0211,47.7968,47.9347
49,261,wet,80,14,28.1423,38.8873,46.4125,49.5007,50.8441,51.5541,51.3603,51.0928,50.7584,51.0564,33.5148,48.9131,51.3357,37.4788,44.8916,46.3101,33.3831,41.5745,43.4276,45.2357,46.0223,46.4379,46.3245,46.1679,45.9721,46.1466
50,265,wet,80,15,31.6687,42.97,50.3512,53.9013,54.4507,55.3368,54.6616,54.3712,53.9876,54.4138,37.3193,52.7226,54.7898,40.3792,47.1221,48.3325,36.0714,44.6869,45.7337,47.8123,48.1339,48.6527,48.2574,48.0874,47.8628,48.1123
51,268,wet,80,15,31.2422,42.9584,50.1819,53.8589,55.3919,55.6632,55.2829,54.9909,54.6692,54.7267,37.1003,53.1253,55.1022,40.2122,47.3579,48.5154,35.7463,44.678,45.6346,47.7874,48.685,48.8438,48.6212,48.4502,48.2618,48.2955
52,270,wet,80,15,28.3419,39.239,46.1787,49.4959,50.3592,51.1563,50.9223,50.5339,50.131,50.317,33.7904,48.6875,50.8709,37.6889,44.7596,46.0379,33.5352,41.8426,43.2907,45.2329,45.7384,46.2051,46.068,45.8406,45.6048,45.7136
